level_0,level_1,Name,join_artists,Score,Song_top,Song_attr
577,3129,1.0,1.0,2.0,Eminem - Killshot,Eminem - Killshot
580,3130,1.0,1.0,2.0,Eminem - Normal,Eminem - Normal
584,3132,1.0,1.0,2.0,Eminem - Stepping Stone,Eminem - Stepping Stone
585,3133,1.0,1.0,2.0,Eminem - The Ringer,Eminem - The Ringer
594,3162,1.0,1.0,2.0,Eric Church - Desperate Man,Eric Church - Desperate Man
599,3170,1.0,1.0,2.0,Eric Church - Some Of It,Eric Church - Some Of It
620,3370,1.0,1.0,2.0,Flipp Dinero - Leave Me Alone,Flipp Dinero - Leave Me Alone
681,3518,1.0,1.0,2.0,Future - Astronauts,Future - Astronauts
682,3519,1.0,1.0,2.0,Future - Fine China,Future - Fine China
710,3843,1.0,1.0,2.0,Gucci Mane - Wake Up In The Sky,Gucci Mane - Wake Up in the Sky
733,3999,1.0,1.0,2.0,Halsey - Without Me,Halsey - Without Me
746,4231,1.0,1.0,2.0,Imagine Dragons - Bad Liar,Imagine Dragons - Bad Liar
748,4240,1.0,1.0,2.0,Imagine Dragons - Natural,Imagine Dragons - Natural
756,4341,1.0,1.0,2.0,J. Cole - ATM,J. Cole - ATM
768,4349,1.0,1.0,2.0,J. Cole - KOD,J. Cole - KOD
769,4350,1.0,1.0,2.0,J. Cole - Kevin's Heart,J. Cole - Kevin’s Heart
771,4353,1.0,1.0,2.0,J. Cole - Motiv8,J. Cole - Motiv8
774,4355,1.0,1.0,2.0,J. Cole - Photograph,J. Cole - Photograph
790,4433,1.0,1.0,2.0,Jacquees - You,Jacquees - You
801,4506,1.0,1.0,2.0,Janelle Monae - Make Me Feel,Janelle Monáe - Make Me Feel
808,4520,1.0,1.0,2.0,Jason Aldean - Girl Like You,Jason Aldean - Girl Like You
811,4523,1.0,1.0,2.0,Jason Aldean - Rearview Town,Jason Aldean - Rearview Town
814,4526,1.0,1.0,2.0,Jason Aldean - You Make It Easy,Jason Aldean - You Make It Easy
820,4541,1.0,1.0,2.0,Jason Mraz - Have It All,Jason Mraz - Have It All
823,4598,1.0,1.0,2.0,Jennifer Lopez - Dinero,Jennifer Lopez - Dinero
832,4674,1.0,1.0,2.0,Jimmie Allen - Best Shot,Jimmie Allen - Best Shot
854,4882,1.0,1.0,2.0,Joyner Lucas - Stranger Things,Joyner Lucas - Stranger Things
860,4944,1.0,1.0,2.0,Juice WRLD - Lean Wit Me,Juice WRLD - Lean Wit Me
861,4945,1.0,1.0,2.0,Juice WRLD - Legends,Juice WRLD - Legends
863,4950,1.0,1.0,2.0,Juice WRLD - Make It Back,Juice WRLD - Make It Back
892,5106,1.0,1.0,2.0,KIDS SEE GHOSTS - 4th Dimension,KIDS SEE GHOSTS - 4th Dimension
893,5110,1.0,1.0,2.0,KIDS SEE GHOSTS - Cudi Montage,KIDS SEE GHOSTS - Cudi Montage
894,5107,1.0,1.0,2.0,KIDS SEE GHOSTS - Feel The Love,KIDS SEE GHOSTS - Feel The Love
895,5111,1.0,1.0,2.0,KIDS SEE GHOSTS - Fire,KIDS SEE GHOSTS - Fire
897,5112,1.0,1.0,2.0,KIDS SEE GHOSTS - Reborn,KIDS SEE GHOSTS - Reborn
